Sport,Modality,Training Focus,Exercise Name,Description
Metcon,Endurance,Legs,Bird Dog,Bird Dog focusing on Legs through Endurance training for metcon.
Circuit Training,Balance,Core,Wall Sit,Wall Sit focusing on Core through Balance training for circuit training.
Metcon,Endurance,Legs,Row,Row focusing on Legs through Endurance training for metcon.
Yoga,Endurance,Core,Jumping Jack,Jumping Jack focusing on Core through Endurance training for yoga.
Golf,Power,Stability,Cobra Stretch,Cobra Stretch focusing on Stability through Power training for golf.
Golf,Endurance,Stability,Triangle Pose,Triangle Pose focusing on Stability through Endurance training for golf.
Circuit Training,Strength,Full Body,Bird Dog,Bird Dog focusing on Full Body through Strength training for circuit training.
Circuit Training,Flexibility,Explosiveness,Landmine Press,Landmine Press focusing on Explosiveness through Flexibility training for circuit training.
Metcon,Cardio,Stability,Banded Walk,Banded Walk focusing on Stability through Cardio training for metcon.
Yoga,Power,Stability,Sled Push,Sled Push focusing on Stability through Power training for yoga.
HIIT,Strength,Core,Prone Cobra,Prone Cobra focusing on Core through Strength training for hiit.
Circuit Training,Power,Conditioning,Box Jump,Box Jump focusing on Conditioning through Power training for circuit training.
Metcon,Power,Explosiveness,Z-Press,Z-Press focusing on Explosiveness through Power training for metcon.
Circuit Training,Power,Stability,Turkish Get-Up,Turkish Get-Up focusing on Stability through Power training for circuit training.
Yoga,Balance,Stability,Banded Row,Banded Row focusing on Stability through Balance training for yoga.
HIIT,Mobility,Conditioning,Jumping Jack,Jumping Jack focusing on Conditioning through Mobility training for hiit.
Metcon,Mobility,Conditioning,Push-up,Push-up focusing on Conditioning through Mobility training for metcon.
HIIT,Strength,Conditioning,Wall Sit,Wall Sit focusing on Conditioning through Strength training for hiit.
Golf,Mobility,Stability,Battle Ropes,Battle Ropes focusing on Stability through Mobility training for golf.
Golf,Power,Explosiveness,Single Arm Snatch,Single Arm Snatch focusing on Explosiveness through Power training for golf.
Metcon,Power,Explosiveness,Hollow Rock,Hollow Rock focusing on Explosiveness through Power training for metcon.
Circuit Training,Balance,Legs,Split Squat,Split Squat focusing on Legs through Balance training for circuit training.
Yoga,Strength,Conditioning,Bird Dog,Bird Dog focusing on Conditioning through Strength training for yoga.
Yoga,Balance,Explosiveness,Wall Ball Clean,Wall Ball Clean focusing on Explosiveness through Balance training for yoga.
Yoga,Balance,Core,Push Jerk,Push Jerk focusing on Core through Balance training for yoga.
Yoga,Balance,Conditioning,Crab Walk,Crab Walk focusing on Conditioning through Balance training for yoga.
Circuit Training,Cardio,Core,Single Arm Snatch,Single Arm Snatch focusing on Core through Cardio training for circuit training.
HIIT,Endurance,Explosiveness,Camel Pose,Camel Pose focusing on Explosiveness through Endurance training for hiit.
Metcon,Strength,Conditioning,Broad Jump,Broad Jump focusing on Conditioning through Strength training for metcon.
HIIT,Balance,Upper Body,Y-T-W Raises,Y-T-W Raises focusing on Upper Body through Balance training for hiit.
Golf,Cardio,Full Body,Lunge,Lunge focusing on Full Body through Cardio training for golf.
Crossfit,Endurance,Explosiveness,Z-Press,Z-Press focusing on Explosiveness through Endurance training for crossfit.
Circuit Training,Mobility,Conditioning,Crow Pose,Crow Pose focusing on Conditioning through Mobility training for circuit training.
Yoga,Mobility,Core,Cat Cow,Cat Cow focusing on Core through Mobility training for yoga.
Golf,Cardio,Conditioning,Single Arm Snatch,Single Arm Snatch focusing on Conditioning through Cardio training for golf.
HIIT,Endurance,Stability,Ring Dip,Ring Dip focusing on Stability through Endurance training for hiit.
HIIT,Strength,Stability,Isometric Hold,Isometric Hold focusing on Stability through Strength training for hiit.
Crossfit,Flexibility,Explosiveness,Clean and Jerk,Clean and Jerk focusing on Explosiveness through Flexibility training for crossfit.
Yoga,Power,Stability,Dot Drill,Dot Drill focusing on Stability through Power training for yoga.
