Sport,Modality,Training Focus,Exercise Name,Description
Baseball,Strength,Lower Body,Romanian Deadlift,Romanian Deadlift focusing on Lower Body strength for batting power.
Baseball,Strength,Upper Body,Pull-Up,Pull-Up focusing on Upper Body pulling strength for throwing velocity.
Baseball,Strength,Core,Pallof Press,Pallof Press focusing on Core anti-rotation stability for pitching control.
Baseball,Plyometrics,Rotational Power,Rotational Med Ball Throw,Rotational Medicine Ball Throw focusing on rotational power for batting.
Baseball,Plyometrics,Explosiveness,Broad Jump,Broad Jump focusing on full-body explosiveness for base running.
Baseball,Agility,Change of Direction,Agility Ladder Drills,Agility Ladder Drills focusing on quick footwork fielding ground balls.
Baseball,Conditioning,Interval,Mound-to-Home Sprints,Mound-to-Home Sprints focusing on Conditioning for game-like sprint demands.
Baseball,Power,Explosiveness,Overhead Medicine Ball Slam,Overhead Medicine Ball Slam focusing on upper-body explosiveness.
Baseball,Balance,Stability,Single-Leg Turkish Get-Up,Single-Leg Turkish Get-Up focusing on shoulder stability for throwing.
Baseball,Mobility,Shoulder Mobility,PVC Pipe Shoulder Dislocation,PVC Pipe Shoulder Dislocation focusing on Shoulder Mobility to prevent injury.
Baseball,Speed,Base Running,Home-to-First Sprint,Home-to-First Sprint focusing on Speed for base running efficiency.
Baseball,Reactive,Hand-Eye Coordination,Reaction Ball Fielding,Reaction Ball Fielding focusing on reactive hand-eye coordination for fielding.
Basketball,Strength,Lower Body,Back Squat,Back Squat focusing on Lower Body strength specific to basketball performance.
Basketball,Strength,Upper Body,Dumbbell Bench Press,Dumbbell Bench Press focusing on Upper Body strength to improve shooting and passes.
Basketball,Strength,Core,Hanging Leg Raise,Hanging Leg Raise focusing on Core strength for stability on the court.
Basketball,Plyometrics,Lower Body,Box Jump,Box Jump focusing on Lower Body explosiveness for rebounding and vertical leap.
Basketball,Plyometrics,Upper Body,Clap Push-Up,Clap Push-Up focusing on Upper Body plyometric power for robust finishes.
Basketball,Agility,Lateral Movement,Lateral Cone Hops,Lateral Cone Hops focusing on Agility to improve defensive slides.
Basketball,Conditioning,Endurance,Full Court Suicides,Full Court Suicides focusing on Conditioning and endurance to maintain pace.
Basketball,Power,Explosiveness,Medicine Ball Slam,Medicine Ball Slam focusing on explosive power transfers from core to limbs.
Basketball,Balance,Stability,Single-Leg Balance Reach,Single-Leg Balance Reach focusing on Stability during dynamic play.
Basketball,Mobility,Hip Mobility,Hip Flexor Stretch with Reach,Hip Flexor Stretch with Reach focusing on Hip Mobility for defensive positioning.
Basketball,Speed,Acceleration,10m Sprint Repeats,10m Sprint Repeats focusing on Speed acceleration for fast breaks.
Basketball,Reactive,Hand-Eye Coordination,Reaction Ball Drill,Reaction Ball Drill focusing on Reactive hand-eye coordination for steals.
Circuit Training,Balance,Core,Wall Sit,Wall Sit focusing on Core through Balance training for circuit training.
Circuit Training,Strength,Full Body,Bird Dog,Bird Dog focusing on Full Body through Strength training for circuit training.
Circuit Training,Flexibility,Explosiveness,Landmine Press,Landmine Press focusing on Explosiveness through Flexibility training for circuit training.
Circuit Training,Power,Conditioning,Box Jump,Box Jump focusing on Conditioning through Power training for circuit training.
Circuit Training,Power,Stability,Turkish Get-Up,Turkish Get-Up focusing on Stability through Power training for circuit training.
Circuit Training,Balance,Legs,Split Squat,Split Squat focusing on Legs through Balance training for circuit training.
