Swing Fault,Drill Category,Example Drill
Early Extension,Hip Depth & Posture Retention Drills,Wall Drill for Posture Retention
Casting / Early Release,Wrist Lag & Downswing Sequencing Drills,Pump Drill for Lag Creation
Over-the-Top,Shallowing & Path Correction Drills,Towel Under Arm Drill
Chicken Wing / Loss of Extension,Arm Extension & Rotation Drills,Swing with Glove Under Lead Arm
Reverse Pivot / Swaying,Weight Transfer & Centered Pivot Drills,Step-Through Drill
Scooping / Flipping,Impact Position & Shaft Lean Drills,Impact Bag Drill
Loss of Balance / Stability,Balance & Core Engagement Drills,Feet Together Swings
Inconsistent Low Point,Low Point Control Drills,Tee Line Drill
Poor Rotation (Upper/Lower),Rotation Mechanics & Mobility Drills,Chair Drill for Hip Rotation
Lack of Wrist Set,Wrist Hinge Timing Drills,L-to-L Drill
Open or Closed Clubface,Clubface Awareness & Face Control Drills,Face Aim at Setup Drill
Flat or Upright Swing Plane,Plane Matching & Shaft Path Drills,Plane Board Drill
Lack of Tempo / Rhythm,Timing & Tempo Synchronization Drills,1-2-3 Swing Rhythm Drill
Swinging Too Hard,Controlled Acceleration & Feel Drills,50% Swing Tempo Drill
Flying Elbow (Right Elbow Out),Trail Arm Positioning Drills,Right Elbow Wall Drill
Heel or Toe Strikes,Centered Striking & Sweet Spot Drills,Impact Tape Contact Drill
Gripping Too Tightly,Grip Pressure Awareness Drills,Tension Awareness Swings
Standing Up / Losing Spine Angle,Posture Maintenance & Body Awareness Drills,Chair Behind Hips Drill
Club Getting Stuck Behind,Club Delivery & Exit Path Drills,Split Grip Drill
Reverse Spine Tilt,Upper Body Positioning Drills,Torso Tilt in Mirror Drill
Too Inside or Too Outside Takeaway,Takeaway Path Drills,Low and Slow Takeaway Drill
Early Extension,Hip Depth & Posture Retention Drills,Chair Behind Hips Drill
Early Extension,Hip Depth & Posture Retention Drills,Wall Sit Swing Drill
Early Extension,Hip Depth & Posture Retention Drills,Foam Roller Hip Depth Drill
Early Extension,Hip Depth & Posture Retention Drills,Basketball Against Butt Drill
Early Extension,Hip Depth & Posture Retention Drills,Butt-to-Wall Drill
Early Extension,Hip Depth & Posture Retention Drills,Pressure Plate Depth Drill
Early Extension,Hip Depth & Posture Retention Drills,Glute Activation Swing
Early Extension,Hip Depth & Posture Retention Drills,Tall Spine Hip Hinge Drill
Casting / Early Release,Wrist Lag & Downswing Sequencing Drills,Split-Hand Pump Drill
Casting / Early Release,Wrist Lag & Downswing Sequencing Drills,Lag Stick Across Shaft Drill
Casting / Early Release,Wrist Lag & Downswing Sequencing Drills,Sling Shot Drill
Casting / Early Release,Wrist Lag & Downswing Sequencing Drills,One-Arm Trail Wrist Lag Drill
Casting / Early Release,Wrist Lag & Downswing Sequencing Drills,Drag the Bag Drill
Casting / Early Release,Wrist Lag & Downswing Sequencing Drills,Snap Release Impact Bag
Casting / Early Release,Wrist Lag & Downswing Sequencing Drills,Hinge-Hold-Release Drill
Casting / Early Release,Wrist Lag & Downswing Sequencing Drills,Baseball Pump Drill
Over-the-Top,Shallowing & Path Correction Drills,Water Bottle Under Trail Arm
Over-the-Top,Shallowing & Path Correction Drills,Under-Over Stick Drill
Over-the-Top,Shallowing & Path Correction Drills,Drop Slot Drill
Over-the-Top,Shallowing & Path Correction Drills,Headcover Behind Ball Drill
Over-the-Top,Shallowing & Path Correction Drills,Swing Under Rope Drill
Over-the-Top,Shallowing & Path Correction Drills,Pause at Top Slot Drill
Over-the-Top,Shallowing & Path Correction Drills,Basketball Under Trail Arm Drill
Over-the-Top,Shallowing & Path Correction Drills,Noodle Under Plane Drill
Chicken Wing / Loss of Extension,Arm Extension & Rotation Drills,Tee Under Arm Drill
Chicken Wing / Loss of Extension,Arm Extension & Rotation Drills,Extension Rod Drill
Chicken Wing / Loss of Extension,Arm Extension & Rotation Drills,Throw Club Down Fairway Drill
Chicken Wing / Loss of Extension,Arm Extension & Rotation Drills,Hula Hoop Arm Extension Drill
Chicken Wing / Loss of Extension,Arm Extension & Rotation Drills,Stick Across Forearms Drill
Chicken Wing / Loss of Extension,Arm Extension & Rotation Drills,Backhand Release Drill
Chicken Wing / Loss of Extension,Arm Extension & Rotation Drills,Push Release Drill
Chicken Wing / Loss of Extension,Arm Extension & Rotation Drills,Straight Arm Impact Drill
Reverse Pivot / Swaying,Weight Transfer & Centered Pivot Drills,Step-Change Drill
Reverse Pivot / Swaying,Weight Transfer & Centered Pivot Drills,Feet Together Drill
Reverse Pivot / Swaying,Weight Transfer & Centered Pivot Drills,Left Heel Lift Drill
Reverse Pivot / Swaying,Weight Transfer & Centered Pivot Drills,Pressure Shift Pump Drill
Reverse Pivot / Swaying,Weight Transfer & Centered Pivot Drills,Basketball Between Knees Drill
Reverse Pivot / Swaying,Weight Transfer & Centered Pivot Drills,Slide Board Lateral Shift Drill
Reverse Pivot / Swaying,Weight Transfer & Centered Pivot Drills,Dynamic Step Swing
Reverse Pivot / Swaying,Weight Transfer & Centered Pivot Drills,Cross-Step Drill
Takeaway Too Inside / Outside,Takeaway Path & Clubface Control Drills,Gate Tee Drill
Takeaway Too Inside / Outside,Takeaway Path & Clubface Control Drills,Low & Slow Takeaway Drill
Takeaway Too Inside / Outside,Takeaway Path & Clubface Control Drills,Mirror Takeaway Check
Takeaway Too Inside / Outside,Takeaway Path & Clubface Control Drills,Alignment Stick Parallel Drill
Takeaway Too Inside / Outside,Takeaway Path & Clubface Control Drills,Shoulder Rock One-Piece Drill
Takeaway Too Inside / Outside,Takeaway Path & Clubface Control Drills,Wide Y Drill
Takeaway Too Inside / Outside,Takeaway Path & Clubface Control Drills,Butt End Target Drill
Takeaway Too Inside / Outside,Takeaway Path & Clubface Control Drills,Watch Face Check Drill
Insufficient Wrist Set,Wrist Hinge Timing Drills,Thumb to Ear Drill
Insufficient Wrist Set,Wrist Hinge Timing Drills,Hinge-Stop-Hit Drill
Insufficient Wrist Set,Wrist Hinge Timing Drills,L-To-L Wrist Hinge Drill
Insufficient Wrist Set,Wrist Hinge Timing Drills,90-Degree Wrist Set Drill
Insufficient Wrist Set,Wrist Hinge Timing Drills,Half Swings Wrist Cock Drill
Insufficient Wrist Set,Wrist Hinge Timing Drills,Tennis Ball Wrist Hinge Drill
Insufficient Wrist Set,Wrist Hinge Timing Drills,Ear to Sky Drill
Insufficient Wrist Set,Wrist Hinge Timing Drills,Lead Thumb Pressure Drill
Hip Stall / Late Hip Turn,Hip Rotation & Clearance Drills,Step Through Drill
Hip Stall / Late Hip Turn,Hip Rotation & Clearance Drills,Belt Buckle to Target Drill
Hip Stall / Late Hip Turn,Hip Rotation & Clearance Drills,Hula Hoop Hip Turn Drill
Hip Stall / Late Hip Turn,Hip Rotation & Clearance Drills,Medicine Ball Rotational Throw
Hip Stall / Late Hip Turn,Hip Rotation & Clearance Drills,Ground Force Plate Jump Drill
Hip Stall / Late Hip Turn,Hip Rotation & Clearance Drills,Feet Together Full Turn Drill
Hip Stall / Late Hip Turn,Hip Rotation & Clearance Drills,Pivot Around Lead Hip Drill
Hip Stall / Late Hip Turn,Hip Rotation & Clearance Drills,Open-Hips Impact Bag
Hanging Back,Pressure Shift & Left-Side Pivot Drills,Lead Foot Down Early Drill
Hanging Back,Pressure Shift & Left-Side Pivot Drills,Weight Left Impact Bag
Hanging Back,Pressure Shift & Left-Side Pivot Drills,Wall in Front Drill
Hanging Back,Pressure Shift & Left-Side Pivot Drills,Left-Only Swings Drill
Hanging Back,Pressure Shift & Left-Side Pivot Drills,Pressure Board Drill
Hanging Back,Pressure Shift & Left-Side Pivot Drills,Feet Together to Step Drill
Hanging Back,Pressure Shift & Left-Side Pivot Drills,Forward Press Pivot Drill
Hanging Back,Pressure Shift & Left-Side Pivot Drills,Trail Heel Up Drill
Scooping / Flip,Forward Shaft Lean & Hands Ahead Drills,Impact Bag Lean Drill
Scooping / Flip,Forward Shaft Lean & Hands Ahead Drills,Knuckles Down Drill
Scooping / Flip,Forward Shaft Lean & Hands Ahead Drills,Right Arm Only Punch Shot
Scooping / Flip,Forward Shaft Lean & Hands Ahead Drills,Forward Lean Tee Drill
Scooping / Flip,Forward Shaft Lean & Hands Ahead Drills,Drag Headcover Drill
Scooping / Flip,Forward Shaft Lean & Hands Ahead Drills,Hold Lag to Impact Drill
Scooping / Flip,Forward Shaft Lean & Hands Ahead Drills,Left Wrist Flat Mirror
Scooping / Flip,Forward Shaft Lean & Hands Ahead Drills,Blade the Tee Drill
Poor Face Control,Clubface Awareness Drills,Toe Up Check Drill
Poor Face Control,Clubface Awareness Drills,Leading Edge Mirror Drill
Poor Face Control,Clubface Awareness Drills,9-to-3 Face Drill
Poor Face Control,Clubface Awareness Drills,Quarter Turn Pause Drill
